"Status","Year","Age","Function_of_post","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","60-64","Security","FCDO Services","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Security","Government Actuary's Department","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Security","Government Actuary's Department","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Security","HM Prison and Probation Service","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Security","HM Prison and Probation Service","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Security","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Security","HM Revenue and Customs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Security","Ministry of Defence (excl. agencies)","Female","15","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Security","Ministry of Defence (excl. agencies)","Male","110","[c]","37370","39070"
"Leaver CS","2022","60-64","Security","Submarine Delivery Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Security","Submarine Delivery Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Accountant in Bankruptcy","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Animal and Plant Health Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Animal and Plant Health Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Crown Prosecution Service","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Crown Prosecution Service","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Defence Electronics and Components Agency","Male","5","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Department for Work and Pensions (excl. agencies)","Female","45","[c]","29390","27570"
"Leaver CS","2022","60-64","Unknown","Department for Work and Pensions (excl. agencies)","Male","35","[c]","38020","27570"
"Leaver CS","2022","60-64","Unknown","Department of Health and Social Care (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Department of Health and Social Care (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Disclosure Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Disclosure Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Education Scotland","Female","5","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Education Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Food Standards Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Food Standards Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Female","10","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Male","25","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Forestry and Land Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Forestry and Land Scotland","Male","10","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","HM Revenue and Customs (excl. agencies)","Female","555","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","HM Revenue and Customs (excl. agencies)","Male","380","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Home Office","Female","170","[c]","31510","27370"
"Leaver CS","2022","60-64","Unknown","Home Office","Male","190","[c]","35800","30980"
"Leaver CS","2022","60-64","Unknown","Intellectual Property Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Intellectual Property Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Ministry of Defence (excl. agencies)","Female","190","[c]","28070","22330"
"Leaver CS","2022","60-64","Unknown","Ministry of Defence (excl. agencies)","Male","250","[c]","32010","26930"
"Leaver CS","2022","60-64","Unknown","National Records of Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","National Records of Scotland","Male","5","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Office of the Scottish Charity Regulator","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Office of the Scottish Charity Regulator","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Royal Fleet Auxiliary","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Royal Fleet Auxiliary","Male","45","[c]","45410","39050"
"Leaver CS","2022","60-64","Unknown","Scottish Forestry","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Scottish Forestry","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Scottish Government (excl. agencies)","Female","35","[c]","52580","47490"
"Leaver CS","2022","60-64","Unknown","Scottish Government (excl. agencies)","Male","55","[c]","55320","53140"
"Leaver CS","2022","60-64","Unknown","Scottish Housing Regulator","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Scottish Housing Regulator","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Scottish Prison Service","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Scottish Prison Service","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Scottish Public Pensions Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Scottish Public Pensions Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Social Security Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Social Security Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Student Awards Agency for Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Student Awards Agency for Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Transport Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Transport Scotland","Male","5","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Veterinary Medicines Directorate","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Veterinary Medicines Directorate","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Welsh Government (excl. agencies)","Female","30","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Welsh Government (excl. agencies)","Male","30","[c]","[c]","[c]"
"Leaver CS","2022","65+","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Analysis","Defence Science and Technology Laboratory","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Analysis","Defence Science and Technology Laboratory","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Analysis","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Analysis","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Analysis","Health and Safety Executive","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Analysis","Health and Safety Executive","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Analysis","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Analysis","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Analysis","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Analysis","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Analysis","UK Statistics Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Analysis","UK Statistics Authority","Male","5","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Crown Commercial Service","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Crown Commercial Service","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Crown Prosecution Service","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Crown Prosecution Service","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Department for Education (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Driver and Vehicle Licensing Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Driver and Vehicle Licensing Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Planning Inspectorate","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Planning Inspectorate","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Scottish Prison Service","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","Scottish Prison Service","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","The National Archives","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","The National Archives","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","UK Health Security Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","UK Health Security Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","UK Hydrographic Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","UK Hydrographic Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","Defence Science and Technology Laboratory","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","Defence Science and Technology Laboratory","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","Department for Education (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","Government Legal Department","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","Government Legal Department","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","HM Prison and Probation Service","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","HM Prison and Probation Service","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","Office for Standards in Education, Children's Services and Skills","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","Planning Inspectorate","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","Planning Inspectorate","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","Scottish Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","Scottish Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","UK Health Security Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Communications","UK Health Security Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Counter Fraud","Department for Work and Pensions (excl. agencies)","Female","50","[c]","26740","27570"
"Leaver CS","2022","65+","Counter Fraud","Department for Work and Pensions (excl. agencies)","Male","30","[c]","25810","25620"
"Leaver CS","2022","65+","Counter Fraud","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Counter Fraud","HM Revenue and Customs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Counter Fraud","Serious Fraud Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Counter Fraud","Serious Fraud Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Counter Fraud","The Insolvency Service","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Counter Fraud","The Insolvency Service","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Debt","Department for Work and Pensions (excl. agencies)","Female","35","[c]","22610","21260"
"Leaver CS","2022","65+","Debt","Department for Work and Pensions (excl. agencies)","Male","25","[c]","[c]","[c]"
"Leaver CS","2022","65+","Debt","Health and Safety Executive","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Debt","Health and Safety Executive","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Debt","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Debt","HM Revenue and Customs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Companies House","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Companies House","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Department for Education (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Female","10","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Male","10","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Education and Skills Funding Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Education and Skills Funding Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","FCDO Services","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","FCDO Services","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Health and Safety Executive","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Health and Safety Executive","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","HM Treasury (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","HM Treasury (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Intellectual Property Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Intellectual Property Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Maritime and Coastguard Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Maritime and Coastguard Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Met Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Met Office","Male","5","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Female","10","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Male","15","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Planning Inspectorate","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Planning Inspectorate","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Public Health England","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Public Health England","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Registers of Scotland","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Registers of Scotland","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Scottish Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Scottish Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Submarine Delivery Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Submarine Delivery Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","The National Archives","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","The National Archives","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","UK Debt Management Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","UK Debt Management Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","UK Statistics Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","UK Statistics Authority","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Valuation Office Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Digital, Data & Technology","Valuation Office Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Companies House","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Companies House","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Crown Commercial Service","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Crown Commercial Service","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Crown Prosecution Service","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Crown Prosecution Service","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Department for Work and Pensions (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Department for Work and Pensions (excl. agencies)","Male","5","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Department of Health and Social Care (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Department of Health and Social Care (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Driver and Vehicle Licensing Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Driver and Vehicle Licensing Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Education and Skills Funding Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Education and Skills Funding Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","HM Revenue and Customs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","HM Treasury (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","HM Treasury (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Medicines and Healthcare Products Regulatory Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Medicines and Healthcare Products Regulatory Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Ministry of Defence (excl. agencies)","Female","10","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Ministry of Defence (excl. agencies)","Male","5","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Ministry of Justice (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","Ministry of Justice (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","National Savings and Investments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","National Savings and Investments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","UK Statistics Authority","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","UK Statistics Authority","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Grants Management","Rural Payments Agency","Female","5","[c]","[c]","[c]"
"Leaver CS","2022","65+","Grants Management","Rural Payments Agency","Male","10","[c]","[c]","[c]"
"Leaver CS","2022","65+","Human Resources","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Human Resources","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Human Resources","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Human Resources","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Human Resources","Defence Equipment and Support","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Human Resources","Defence Equipment and Support","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Human Resources","Department for Work and Pensions (excl. agencies)","Female","5","[c]","[c]","[c]"
"Leaver CS","2022","65+","Human Resources","Department for Work and Pensions (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Human Resources","Driver and Vehicle Licensing Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Human Resources","Driver and Vehicle Licensing Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Human Resources","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Human Resources","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Human Resources","Government Legal Department","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Human Resources","Government Legal Department","Male","[c]","[c]","[c]","[c]"
