"Status","Year","Age","Organisation","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","65+","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Office and Procurator Fiscal Service","Legal","Scotland","5","5","[c]","[c]"
"In post","2022","65+","Crown Office and Procurator Fiscal Service","Operational Delivery","Scotland","30","25","26370","23230"
"In post","2022","65+","Crown Prosecution Service","Digital, Data and Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Internal Audit","Wales","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Legal","East of England","5","5","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Legal","London","20","15","64220","62590"
"In post","2022","65+","Crown Prosecution Service","Legal","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Legal","North West (England)","10","5","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Legal","South East (England)","10","5","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Legal","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Legal","Wales","5","5","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Legal","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Legal","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Operational Delivery","London","20","20","26500","25820"
"In post","2022","65+","Crown Prosecution Service","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Operational Delivery","North West (England)","5","5","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Policy","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Electronics and Components Agency","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Electronics and Components Agency","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Electronics and Components Agency","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Electronics and Components Agency","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Electronics and Components Agency","Science and Engineering","Wales","10","10","28270","28150"
"In post","2022","65+","Defence Equipment and Support","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Commercial","South West (England)","15","10","49440","44170"
"In post","2022","65+","Defence Equipment and Support","Digital, Data and Technology","South West (England)","5","5","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Knowledge and Information Management","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Knowledge and Information Management","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Knowledge and Information Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Other","East of England","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Other","London","25","25","21010","20510"
"In post","2022","65+","Defence Equipment and Support","Other","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Other","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Other","Scotland","5","5","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Other","South East (England)","10","10","26100","26480"
"In post","2022","65+","Defence Equipment and Support","Other","South West (England)","70","55","32940","33060"
"In post","2022","65+","Defence Equipment and Support","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Other","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Policy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Project Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Project Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Project Delivery","South West (England)","25","20","47690","43410"
"In post","2022","65+","Defence Equipment and Support","Property","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Property","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Science and Engineering","East Midlands (England)","5","5","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Science and Engineering","East of England","15","10","37130","36140"
"In post","2022","65+","Defence Equipment and Support","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Science and Engineering","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Science and Engineering","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Science and Engineering","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Science and Engineering","South West (England)","55","45","44220","42600"
"In post","2022","65+","Defence Equipment and Support","Science and Engineering","Wales","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Science and Engineering","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Science and Engineering","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Security","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Operational Delivery","South East (England)","5","5","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Operational Delivery","South West (England)","10","5","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Operational Research","South East (England)","10","5","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Operational Research","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Project Delivery","South West (England)","5","5","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Science and Engineering","South East (England)","30","25","48500","48090"
"In post","2022","65+","Defence Science and Technology Laboratory","Science and Engineering","South West (England)","30","25","51570","53730"
"In post","2022","65+","Defence Science and Technology Laboratory","Security","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Security","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Statistics","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","London","5","5","[c]","[c]"
"In post","2022","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","London","5","5","[c]","[c]"
"In post","2022","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","London","40","35","47370","44080"
"In post","2022","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Digital, Culture, Media and Sport","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Digital, Culture, Media and Sport","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Digital, Culture, Media and Sport","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Digital, Culture, Media and Sport","Project Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Digital, Data and Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Finance","London","5","5","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Legal","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Legal","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Policy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Policy","London","5","5","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Policy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Policy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Policy","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Property","East of England","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Property","London","5","5","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Property","Wales","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Property","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Security","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","South West (England)","5","5","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","South East (England)","5","5","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","London","30","25","33100","28670"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","South West (England)","5","5","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for International Trade","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for International Trade","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for International Trade","International Trade","London","10","10","58040","58260"
"In post","2022","65+","Department for International Trade","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for International Trade","Other","East of England","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for International Trade","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for International Trade","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for International Trade","Project Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for International Trade","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Knowledge and Information Management","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Delivery","London","5","5","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Planning","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","East of England","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","London","5","5","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Operational Delivery","London","20","15","32610","33390"
"In post","2022","65+","Department for Transport (excl. agencies)","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Policy","London","5","5","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Unknown","London","10","10","31430","30400"
"In post","2022","65+","Department for Transport (excl. agencies)","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Commercial","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Counter Fraud","East Midlands (England)","10","5","26460","27570"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Counter Fraud","East of England","25","15","29560","29020"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Counter Fraud","London","55","45","29140","27720"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Counter Fraud","North East (England)","10","5","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Counter Fraud","North West (England)","30","20","27810","27570"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Counter Fraud","Scotland","25","20","26410","27570"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Counter Fraud","South East (England)","30","20","27130","27570"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Counter Fraud","South West (England)","20","10","26470","26120"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Counter Fraud","Wales","15","10","27220","26840"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Counter Fraud","West Midlands (England)","20","15","27070","27570"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Counter Fraud","Yorkshire and The Humber","25","15","25890","27570"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","East of England","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","North East (England)","25","20","34530","31990"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","North West (England)","30","20","39960","34290"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Finance","North West (England)","5","5","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Human Resources","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Operational Delivery","East Midlands (England)","80","60","24480","21260"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Operational Delivery","East of England","130","100","27090","27570"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Operational Delivery","London","235","180","29530","31060"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Operational Delivery","North East (England)","180","130","23970","21260"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Operational Delivery","North West (England)","385","275","24700","21260"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Operational Delivery","Scotland","205","150","23840","21260"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Operational Delivery","South East (England)","215","165","26090","27570"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Operational Delivery","South West (England)","200","140","25060","27570"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Operational Delivery","Unknown","5","5","[c]","[c]"
