"Status","Year","Age","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","20-29","Crown Commercial Service","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Crown Commercial Service","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Crown Commercial Service","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Crown Office and Procurator Fiscal Service","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Crown Office and Procurator Fiscal Service","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Crown Prosecution Service","AA/AO","30","[c]","23400","23770"
"Leaver Dept.","2022","20-29","Crown Prosecution Service","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Crown Prosecution Service","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Defence Equipment and Support","EO","70","[c]","23380","23770"
"Leaver Dept.","2022","20-29","Defence Equipment and Support","SEO/HEO","65","[c]","30140","29780"
"Leaver Dept.","2022","20-29","Defence Science and Technology Laboratory","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Defence Science and Technology Laboratory","EO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Defence Science and Technology Laboratory","SEO/HEO","20","[c]","32010","29230"
"Leaver Dept.","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","30","[c]","27320","27680"
"Leaver Dept.","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","50","[c]","53590","53380"
"Leaver Dept.","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","155","[c]","35600","33640"
"Leaver Dept.","2022","20-29","Department for Digital, Culture, Media and Sport","EO","15","[c]","26970","26180"
"Leaver Dept.","2022","20-29","Department for Digital, Culture, Media and Sport","G6/G7","15","[c]","53420","51730"
"Leaver Dept.","2022","20-29","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department for Digital, Culture, Media and Sport","SEO/HEO","65","[c]","34860","34020"
"Leaver Dept.","2022","20-29","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department for Education (excl. agencies)","EO","35","[c]","26830","25000"
"Leaver Dept.","2022","20-29","Department for Education (excl. agencies)","G6/G7","20","[c]","53950","53590"
"Leaver Dept.","2022","20-29","Department for Education (excl. agencies)","SEO/HEO","90","[c]","35780","33460"
"Leaver Dept.","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","25","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","115","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department for International Trade","EO","15","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department for International Trade","G6/G7","15","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department for International Trade","SEO/HEO","70","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","35","[c]","27460","27850"
"Leaver Dept.","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","20","[c]","54680","53130"
"Leaver Dept.","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","75","[c]","33960","33210"
"Leaver Dept.","2022","20-29","Department for Transport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department for Transport (excl. agencies)","EO","30","[c]","29510","30270"
"Leaver Dept.","2022","20-29","Department for Transport (excl. agencies)","G6/G7","20","[c]","55330","54650"
"Leaver Dept.","2022","20-29","Department for Transport (excl. agencies)","SEO/HEO","85","[c]","36870","35060"
"Leaver Dept.","2022","20-29","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department for Work and Pensions (excl. agencies)","AA/AO","165","[c]","21520","21260"
"Leaver Dept.","2022","20-29","Department for Work and Pensions (excl. agencies)","EO","600","[c]","28540","27570"
"Leaver Dept.","2022","20-29","Department for Work and Pensions (excl. agencies)","G6/G7","10","[c]","53730","52150"
"Leaver Dept.","2022","20-29","Department for Work and Pensions (excl. agencies)","SEO/HEO","85","[c]","35020","35590"
"Leaver Dept.","2022","20-29","Department of Health and Social Care (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department of Health and Social Care (excl. agencies)","EO","95","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department of Health and Social Care (excl. agencies)","G6/G7","70","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department of Health and Social Care (excl. agencies)","SEO/HEO","220","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Department of Health and Social Care (excl. agencies)","Unknown","40","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Disclosure Scotland","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Driver and Vehicle Licensing Agency","AA/AO","25","[c]","21210","21840"
"Leaver Dept.","2022","20-29","Driver and Vehicle Licensing Agency","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Driver and Vehicle Licensing Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Driver and Vehicle Standards Agency","AA/AO","15","[c]","21930","21840"
"Leaver Dept.","2022","20-29","Driver and Vehicle Standards Agency","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Driver and Vehicle Standards Agency","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Education and Skills Funding Agency","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Education and Skills Funding Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Education and Skills Funding Agency","SEO/HEO","10","[c]","36480","35050"
"Leaver Dept.","2022","20-29","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Food Standards Agency","SEO/HEO","15","[c]","36540","34830"
"Leaver Dept.","2022","20-29","Food Standards Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","EO","15","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","65","[c]","37120","38550"
"Leaver Dept.","2022","20-29","Forestry and Land Scotland","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Government Actuary's Department","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Government Internal Audit Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Government Internal Audit Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Government Legal Department","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Government Legal Department","EO","15","[c]","27210","27350"
"Leaver Dept.","2022","20-29","Government Legal Department","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Government Legal Department","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Government Property Agency","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Government Property Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Health and Safety Executive","AA/AO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Health and Safety Executive","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Health and Safety Executive","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","HM Courts and Tribunals Service","AA/AO","150","[c]","20760","20970"
"Leaver Dept.","2022","20-29","HM Courts and Tribunals Service","EO","40","[c]","25110","25120"
"Leaver Dept.","2022","20-29","HM Courts and Tribunals Service","SEO/HEO","30","[c]","32460","32560"
"Leaver Dept.","2022","20-29","HM Prison and Probation Service","AA/AO","95","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","HM Prison and Probation Service","EO","20","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","HM Prison and Probation Service","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","HM Prison and Probation Service","SEO/HEO","20","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","HM Prison and Probation Service","Unknown","35","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","HM Revenue and Customs (excl. agencies)","AA/AO","230","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","HM Revenue and Customs (excl. agencies)","EO","85","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","HM Revenue and Customs (excl. agencies)","G6/G7","20","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","HM Revenue and Customs (excl. agencies)","SEO/HEO","60","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","HM Revenue and Customs (excl. agencies)","Unknown","45","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","HM Treasury (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","HM Treasury (excl. agencies)","EO","15","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","HM Treasury (excl. agencies)","G6/G7","15","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","HM Treasury (excl. agencies)","SEO/HEO","65","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Home Office","AA/AO","65","[c]","21960","21680"
"Leaver Dept.","2022","20-29","Home Office","EO","170","[c]","26590","24890"
"Leaver Dept.","2022","20-29","Home Office","G6/G7","20","[c]","58410","57460"
"Leaver Dept.","2022","20-29","Home Office","SEO/HEO","180","[c]","36360","35070"
"Leaver Dept.","2022","20-29","Home Office","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Institute for Apprenticeships and Technical Education","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Institute for Apprenticeships and Technical Education","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Intellectual Property Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Intellectual Property Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Intellectual Property Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Intellectual Property Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal Aid Agency","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal Aid Agency","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal Aid Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Maritime and Coastguard Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Maritime and Coastguard Agency","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Maritime and Coastguard Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Medicines and Healthcare Products Regulatory Agency","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Met Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Met Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Ministry of Defence (excl. agencies)","AA/AO","40","[c]","21590","21170"
"Leaver Dept.","2022","20-29","Ministry of Defence (excl. agencies)","EO","45","[c]","28600","28210"
"Leaver Dept.","2022","20-29","Ministry of Defence (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Ministry of Defence (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Ministry of Defence (excl. agencies)","SEO/HEO","75","[c]","39220","37640"
"Leaver Dept.","2022","20-29","Ministry of Justice (excl. agencies)","AA/AO","15","[c]","22570","22680"
"Leaver Dept.","2022","20-29","Ministry of Justice (excl. agencies)","EO","25","[c]","26440","26410"
"Leaver Dept.","2022","20-29","Ministry of Justice (excl. agencies)","G6/G7","10","[c]","53920","53560"
"Leaver Dept.","2022","20-29","Ministry of Justice (excl. agencies)","SEO/HEO","90","[c]","36390","36530"
"Leaver Dept.","2022","20-29","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","National Crime Agency","EO","10","[c]","32170","32260"
"Leaver Dept.","2022","20-29","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","National Crime Agency","SEO/HEO","10","[c]","43870","43720"
"Leaver Dept.","2022","20-29","National Infrastructure Commission","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","National Infrastructure Commission","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","National Infrastructure Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office for Budget Responsibility","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office for Standards in Education, Children's Services and Skills","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office of Gas and Electricity Markets","EO","30","[c]","25250","25750"
"Leaver Dept.","2022","20-29","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office of Gas and Electricity Markets","SEO/HEO","15","[c]","35020","35400"
"Leaver Dept.","2022","20-29","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office of the Public Guardian","AA/AO","30","[c]","20390","20970"
"Leaver Dept.","2022","20-29","Office of the Public Guardian","EO","15","[c]","23290","23700"
"Leaver Dept.","2022","20-29","Office of the Public Guardian","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office of the Secretary of State for Wales","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office of the Secretary of State for Wales","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Office of the Secretary of State for Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Planning Inspectorate","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Planning Inspectorate","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Planning Inspectorate","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Public Health England","AA/AO","340","[c]","21210","19880"
"Leaver Dept.","2022","20-29","Public Health England","EO","360","[c]","25320","25610"
"Leaver Dept.","2022","20-29","Public Health England","G6/G7","40","[c]","52770","52610"
"Leaver Dept.","2022","20-29","Public Health England","SEO/HEO","535","[c]","33670","32330"
"Leaver Dept.","2022","20-29","Registers of Scotland","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Registers of Scotland","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Registers of Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Rural Payments Agency","AA/AO","20","[c]","21160","21300"
"Leaver Dept.","2022","20-29","Rural Payments Agency","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Rural Payments Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Scottish Courts and Tribunals Service","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Scottish Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Scottish Courts and Tribunals Service","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Scottish Forestry","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Scottish Government (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Scottish Government (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Scottish Government (excl. agencies)","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Serious Fraud Office","EO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Serious Fraud Office","SEO/HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Social Security Scotland","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Social Security Scotland","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Student Awards Agency for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Submarine Delivery Agency","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Teaching Regulation Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Teaching Regulation Agency","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","The Insolvency Service","AA/AO","15","[c]","21180","21130"
"Leaver Dept.","2022","20-29","The Insolvency Service","EO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","The Insolvency Service","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","The Insolvency Service","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","The National Archives","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Transport Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","UK Health Security Agency","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","UK Health Security Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","UK Health Security Agency","SEO/HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","UK Health Security Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","UK Statistics Authority","AA/AO","10","[c]","20080","19860"
"Leaver Dept.","2022","20-29","UK Statistics Authority","EO","15","[c]","24040","23630"
"Leaver Dept.","2022","20-29","UK Statistics Authority","G6/G7","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","UK Statistics Authority","SEO/HEO","65","[c]","32270","30500"
"Leaver Dept.","2022","20-29","Valuation Office Agency","AA/AO","10","[c]","21810","22030"
"Leaver Dept.","2022","20-29","Valuation Office Agency","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Valuation Office Agency","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Veterinary Medicines Directorate","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Veterinary Medicines Directorate","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Welsh Government (excl. agencies)","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Welsh Government (excl. agencies)","EO","10","[c]","27630","28560"
"Leaver Dept.","2022","20-29","Welsh Government (excl. agencies)","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Wilton Park","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Advisory, Conciliation and Arbitration Service","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Advisory, Conciliation and Arbitration Service","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Animal and Plant Health Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Animal and Plant Health Agency","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Animal and Plant Health Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Attorney General's Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Attorney General's Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Attorney General's Office","G6/G7","5","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Attorney General's Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Cabinet Office (excl. agencies)","AA/AO","15","[c]","21470","21050"
"Leaver Dept.","2022","30-39","Cabinet Office (excl. agencies)","EO","25","[c]","26460","27500"
"Leaver Dept.","2022","30-39","Cabinet Office (excl. agencies)","G6/G7","240","[c]","58490","54990"
"Leaver Dept.","2022","30-39","Cabinet Office (excl. agencies)","SCS level","35","[c]","75930","72280"
"Leaver Dept.","2022","30-39","Cabinet Office (excl. agencies)","SEO/HEO","250","[c]","34570","33300"
"Leaver Dept.","2022","30-39","Centre for Environment, Fisheries and Aquaculture Science","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Charity Commission","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Charity Commission","SEO/HEO","10","[c]","33070","33540"
"Leaver Dept.","2022","30-39","Companies House","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Companies House","EO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Companies House","SEO/HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Criminal Injuries Compensation Authority","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Criminal Injuries Compensation Authority","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Criminal Injuries Compensation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Crown Commercial Service","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Crown Commercial Service","G6/G7","5","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Crown Commercial Service","SEO/HEO","10","[c]","36100","34800"
"Leaver Dept.","2022","30-39","Crown Office and Procurator Fiscal Service","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Crown Office and Procurator Fiscal Service","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Crown Prosecution Service","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Crown Prosecution Service","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Crown Prosecution Service","G6/G7","10","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Crown Prosecution Service","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Crown Prosecution Service","SEO/HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Defence Equipment and Support","EO","20","[c]","22100","20700"
"Leaver Dept.","2022","30-39","Defence Equipment and Support","G6/G7","10","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Defence Equipment and Support","SEO/HEO","90","[c]","34260","34940"
"Leaver Dept.","2022","30-39","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Defence Science and Technology Laboratory","G6/G7","10","[c]","48910","47010"
"Leaver Dept.","2022","30-39","Defence Science and Technology Laboratory","SEO/HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","105","[c]","56520","53600"
"Leaver Dept.","2022","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","70","[c]","37090","39080"
"Leaver Dept.","2022","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Department for Digital, Culture, Media and Sport","G6/G7","40","[c]","56080","54730"
"Leaver Dept.","2022","30-39","Department for Digital, Culture, Media and Sport","SCS level","5","[c]","[c]","[c]"
