"Status","Year","Organisation","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","SEO/HEO","HEO","585","[c]","36150","34610"
"Leaver CS","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","SEO/HEO","SEO","345","[c]","43400","42000"
"Leaver CS","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","Unknown","15","[c]","36810","31570"
"Leaver CS","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","AA/AO","AA","15","[c]","18680","18200"
"Leaver CS","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","AA/AO","AO","35","[c]","21190","21140"
"Leaver CS","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","EO","EO","70","[c]","26070","26410"
"Leaver CS","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","G6/G7","G6","20","[c]","66810","67700"
"Leaver CS","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","G6/G7","G7","85","[c]","59040","57540"
"Leaver CS","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","SCS level","SCS level","10","[c]","103810","94670"
"Leaver CS","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","SEO/HEO","HEO","75","[c]","32820","33370"
"Leaver CS","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","SEO/HEO","SEO","85","[c]","42360","41750"
"Leaver CS","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","Unknown","25","[c]","53430","53920"
"Leaver CS","2022","National Crime Agency","National Crime Agency","AA/AO","AO","30","[c]","23670","23100"
"Leaver CS","2022","National Crime Agency","National Crime Agency","EO","EO","130","[c]","33820","34140"
"Leaver CS","2022","National Crime Agency","National Crime Agency","G6/G7","G6","15","[c]","77540","76310"
"Leaver CS","2022","National Crime Agency","National Crime Agency","G6/G7","G7","20","[c]","62490","63150"
"Leaver CS","2022","National Crime Agency","National Crime Agency","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","National Crime Agency","National Crime Agency","SEO/HEO","HEO","75","[c]","42140","43180"
"Leaver CS","2022","National Crime Agency","National Crime Agency","SEO/HEO","SEO","45","[c]","48650","48310"
"Leaver CS","2022","National Infrastructure Commission","HM Treasury","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","National Infrastructure Commission","HM Treasury","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","National Infrastructure Commission","HM Treasury","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","National Infrastructure Commission","HM Treasury","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","National Infrastructure Commission","HM Treasury","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","National Records of Scotland","Scottish Government","AA/AO","AA","10","[c]","22810","23230"
"Leaver CS","2022","National Records of Scotland","Scottish Government","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","National Records of Scotland","Scottish Government","EO","EO","10","[c]","27060","27230"
"Leaver CS","2022","National Records of Scotland","Scottish Government","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","National Records of Scotland","Scottish Government","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","National Records of Scotland","Scottish Government","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","National Records of Scotland","Scottish Government","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2022","National Savings and Investments","Chancellor's other departments","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","National Savings and Investments","Chancellor's other departments","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","National Savings and Investments","Chancellor's other departments","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","National Savings and Investments","Chancellor's other departments","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2022","National Savings and Investments","Chancellor's other departments","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","National Savings and Investments","Chancellor's other departments","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","National Savings and Investments","Chancellor's other departments","SEO/HEO","SEO","10","[c]","44300","42920"
"Leaver CS","2022","Northern Ireland Office","Northern Ireland Office","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland Office","Northern Ireland Office","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland Office","Northern Ireland Office","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland Office","Northern Ireland Office","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office for Budget Responsibility","HM Treasury","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","AA/AO","AO","25","[c]","21480","21410"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","EO","EO","10","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","G6/G7","G6","10","[c]","84530","85550"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","G6/G7","G7","55","[c]","73240","75500"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","SEO/HEO","HEO","15","[c]","32910","32010"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","SEO/HEO","SEO","65","[c]","47960","51360"
"Leaver CS","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","AA/AO","AO","25","[c]","20040","19750"
"Leaver CS","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","EO","EO","45","[c]","25700","25600"
"Leaver CS","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","G6/G7","G6","15","[c]","78210","78220"
"Leaver CS","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","G6/G7","G7","55","[c]","56830","54490"
"Leaver CS","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SCS level","SCS level","15","[c]","101390","99990"
"Leaver CS","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SEO/HEO","HEO","45","[c]","34650","34540"
"Leaver CS","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SEO/HEO","SEO","35","[c]","40970","40000"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","Office of Rail and Road","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","Office of Rail and Road","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","Office of Rail and Road","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","Office of Rail and Road","G6/G7","G7","15","[c]","57760","58930"
"Leaver CS","2022","Office of Rail and Road","Office of Rail and Road","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","Office of Rail and Road","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","Office of Rail and Road","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Public Guardian","Ministry of Justice","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Public Guardian","Ministry of Justice","AA/AO","AO","45","[c]","20470","20970"
"Leaver CS","2022","Office of the Public Guardian","Ministry of Justice","EO","EO","10","[c]","23950","23700"
"Leaver CS","2022","Office of the Public Guardian","Ministry of Justice","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Public Guardian","Ministry of Justice","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Public Guardian","Ministry of Justice","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Scottish Charity Regulator","Scottish Government","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Scottish Charity Regulator","Scottish Government","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Scottish Charity Regulator","Scottish Government","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","AA/AO","AO","20","[c]","20360","21270"
"Leaver CS","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","G6/G7","G6","15","[c]","69400","71610"
"Leaver CS","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","G6/G7","G7","15","[c]","49320","47660"
"Leaver CS","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2022","Public Health England","Department of Health and Social Care","AA/AO","AA","35","[c]","19560","19100"
"Leaver CS","2022","Public Health England","Department of Health and Social Care","AA/AO","AO","130","[c]","21010","19900"
"Leaver CS","2022","Public Health England","Department of Health and Social Care","EO","EO","250","[c]","25370","25080"
"Leaver CS","2022","Public Health England","Department of Health and Social Care","G6/G7","G6","100","[c]","71570","65660"
"Leaver CS","2022","Public Health England","Department of Health and Social Care","G6/G7","G7","305","[c]","53000","52610"
"Leaver CS","2022","Public Health England","Department of Health and Social Care","SCS level","SCS level","110","[c]","101840","101430"
"Leaver CS","2022","Public Health England","Department of Health and Social Care","SEO/HEO","HEO","230","[c]","31810","32160"
"Leaver CS","2022","Public Health England","Department of Health and Social Care","SEO/HEO","SEO","365","[c]","39780","40060"
"Leaver CS","2022","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Registers of Scotland","Scottish Government","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Registers of Scotland","Scottish Government","AA/AO","AO","5","[c]","[c]","[c]"
"Leaver CS","2022","Registers of Scotland","Scottish Government","EO","EO","10","[c]","[c]","[c]"
"Leaver CS","2022","Registers of Scotland","Scottish Government","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Registers of Scotland","Scottish Government","SEO/HEO","HEO","10","[c]","[c]","[c]"
"Leaver CS","2022","Registers of Scotland","Scottish Government","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2022","Revenue Scotland","Scottish Government","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Revenue Scotland","Scottish Government","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Revenue Scotland","Scottish Government","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Revenue Scotland","Scottish Government","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Royal Fleet Auxiliary","Ministry of Defence","Unknown","Unknown","235","[c]","36010","33270"
"Leaver CS","2022","Rural Payments Agency","Department for Environment, Food and Rural Affairs","AA/AO","AO","90","[c]","21190","21300"
"Leaver CS","2022","Rural Payments Agency","Department for Environment, Food and Rural Affairs","EO","EO","45","[c]","25630","25880"
"Leaver CS","2022","Rural Payments Agency","Department for Environment, Food and Rural Affairs","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Rural Payments Agency","Department for Environment, Food and Rural Affairs","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Rural Payments Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","20","[c]","30910","31240"
"Leaver CS","2022","Rural Payments Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Courts and Tribunals Service","Scottish Government","AA/AO","AA","40","[c]","20950","20950"
"Leaver CS","2022","Scottish Courts and Tribunals Service","Scottish Government","AA/AO","AO","65","[c]","23500","23780"
"Leaver CS","2022","Scottish Courts and Tribunals Service","Scottish Government","EO","EO","25","[c]","30100","30450"
"Leaver CS","2022","Scottish Courts and Tribunals Service","Scottish Government","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Courts and Tribunals Service","Scottish Government","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Courts and Tribunals Service","Scottish Government","SEO/HEO","HEO","10","[c]","35640","36360"
"Leaver CS","2022","Scottish Courts and Tribunals Service","Scottish Government","SEO/HEO","SEO","15","[c]","45440","46100"
"Leaver CS","2022","Scottish Forestry","Scottish Government","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Forestry","Scottish Government","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Forestry","Scottish Government","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Forestry","Scottish Government","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Forestry","Scottish Government","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Government (excl. agencies)","Scottish Government","AA/AO","AA","55","[c]","23180","23230"
"Leaver CS","2022","Scottish Government (excl. agencies)","Scottish Government","AA/AO","AO","35","[c]","27330","25820"
"Leaver CS","2022","Scottish Government (excl. agencies)","Scottish Government","EO","EO","65","[c]","28570","27940"
"Leaver CS","2022","Scottish Government (excl. agencies)","Scottish Government","G6/G7","G6","30","[c]","74960","75340"
"Leaver CS","2022","Scottish Government (excl. agencies)","Scottish Government","G6/G7","G7","40","[c]","58660","62170"
"Leaver CS","2022","Scottish Government (excl. agencies)","Scottish Government","SCS level","SCS level","20","[c]","95150","88280"
"Leaver CS","2022","Scottish Government (excl. agencies)","Scottish Government","SEO/HEO","HEO","85","[c]","34510","35360"
"Leaver CS","2022","Scottish Government (excl. agencies)","Scottish Government","SEO/HEO","SEO","85","[c]","44400","47240"
"Leaver CS","2022","Scottish Housing Regulator","Scottish Government","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Housing Regulator","Scottish Government","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Housing Regulator","Scottish Government","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Housing Regulator","Scottish Government","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Prison Service","Scottish Government","AA/AO","AA","25","[c]","21640","21640"
"Leaver CS","2022","Scottish Prison Service","Scottish Government","AA/AO","AO","125","[c]","24830","26900"
"Leaver CS","2022","Scottish Prison Service","Scottish Government","EO","EO","130","[c]","34350","35000"
"Leaver CS","2022","Scottish Prison Service","Scottish Government","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Prison Service","Scottish Government","G6/G7","G7","10","[c]","54170","54170"
"Leaver CS","2022","Scottish Prison Service","Scottish Government","SEO/HEO","HEO","25","[c]","40290","40290"
"Leaver CS","2022","Scottish Prison Service","Scottish Government","SEO/HEO","SEO","25","[c]","45780","46020"
"Leaver CS","2022","Scottish Public Pensions Agency","Scottish Government","AA/AO","AO","5","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Public Pensions Agency","Scottish Government","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Public Pensions Agency","Scottish Government","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Public Pensions Agency","Scottish Government","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Serious Fraud Office","Attorney General's Departments","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Serious Fraud Office","Attorney General's Departments","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Serious Fraud Office","Attorney General's Departments","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","Serious Fraud Office","Attorney General's Departments","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Serious Fraud Office","Attorney General's Departments","G6/G7","G7","15","[c]","54950","53590"
"Leaver CS","2022","Serious Fraud Office","Attorney General's Departments","SEO/HEO","HEO","10","[c]","33320","33100"
"Leaver CS","2022","Serious Fraud Office","Attorney General's Departments","SEO/HEO","SEO","10","[c]","40890","40000"
"Leaver CS","2022","Social Security Scotland","Scottish Government","AA/AO","AA","15","[c]","21750","21050"
"Leaver CS","2022","Social Security Scotland","Scottish Government","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Security Scotland","Scottish Government","EO","EO","15","[c]","28230","27940"
"Leaver CS","2022","Social Security Scotland","Scottish Government","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Security Scotland","Scottish Government","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Security Scotland","Scottish Government","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Standards and Testing Agency","Department for Education","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Standards and Testing Agency","Department for Education","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Student Awards Agency for Scotland","Scottish Government","AA/AO","AA","20","[c]","21280","21050"
"Leaver CS","2022","Student Awards Agency for Scotland","Scottish Government","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Student Awards Agency for Scotland","Scottish Government","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Student Awards Agency for Scotland","Scottish Government","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Student Awards Agency for Scotland","Scottish Government","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Student Awards Agency for Scotland","Scottish Government","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Submarine Delivery Agency","Ministry of Defence","Unknown","Unknown","140","[c]","38120","37670"
"Leaver CS","2022","Teaching Regulation Agency","Department for Education","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Teaching Regulation Agency","Department for Education","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","The Insolvency Service","Department for Business, Energy and Industrial Strategy","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","The Insolvency Service","Department for Business, Energy and Industrial Strategy","AA/AO","AO","35","[c]","21230","21130"
"Leaver CS","2022","The Insolvency Service","Department for Business, Energy and Industrial Strategy","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","The Insolvency Service","Department for Business, Energy and Industrial Strategy","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","The Insolvency Service","Department for Business, Energy and Industrial Strategy","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2022","The Insolvency Service","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","The Insolvency Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","30","[c]","31590","31000"
"Leaver CS","2022","The Insolvency Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2022","The National Archives","The National Archives","AA/AO","AA","10","[c]","[c]","[c]"
"Leaver CS","2022","The National Archives","The National Archives","AA/AO","AO","15","[c]","21000","20510"
"Leaver CS","2022","The National Archives","The National Archives","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","The National Archives","The National Archives","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","The National Archives","The National Archives","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","The National Archives","The National Archives","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","The National Archives","The National Archives","SEO/HEO","HEO","20","[c]","30270","28970"
"Leaver CS","2022","The National Archives","The National Archives","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2022","Transport Scotland","Scottish Government","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Transport Scotland","Scottish Government","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Transport Scotland","Scottish Government","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","Transport Scotland","Scottish Government","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2022","UK Debt Management Office","HM Treasury","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Debt Management Office","HM Treasury","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Debt Management Office","HM Treasury","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2022","UK Debt Management Office","HM Treasury","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Debt Management Office","HM Treasury","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Export Finance","UK Export Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Export Finance","UK Export Finance","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","UK Export Finance","UK Export Finance","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","UK Export Finance","UK Export Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Export Finance","UK Export Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Export Finance","UK Export Finance","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","UK Export Finance","UK Export Finance","SEO/HEO","SEO","20","[c]","46870","47000"
"Leaver CS","2022","UK Health Security Agency","Department of Health and Social Care","AA/AO","AA","10","[c]","[c]","[c]"
"Leaver CS","2022","UK Health Security Agency","Department of Health and Social Care","AA/AO","AO","95","[c]","21320","20700"
"Leaver CS","2022","UK Health Security Agency","Department of Health and Social Care","EO","EO","110","[c]","25470","25010"
"Leaver CS","2022","UK Health Security Agency","Department of Health and Social Care","G6/G7","G6","45","[c]","66680","66230"
"Leaver CS","2022","UK Health Security Agency","Department of Health and Social Care","G6/G7","G7","135","[c]","52660","52610"
"Leaver CS","2022","UK Health Security Agency","Department of Health and Social Care","SCS level","SCS level","45","[c]","100040","87210"
"Leaver CS","2022","UK Health Security Agency","Department of Health and Social Care","SEO/HEO","HEO","180","[c]","31450","32310"
"Leaver CS","2022","UK Health Security Agency","Department of Health and Social Care","SEO/HEO","SEO","165","[c]","39410","40070"
"Leaver CS","2022","UK Health Security Agency","Department of Health and Social Care","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Hydrographic Office","Ministry of Defence","AA/AO","AO","10","[c]","20370","20420"
"Leaver CS","2022","UK Hydrographic Office","Ministry of Defence","EO","EO","10","[c]","27760","26740"
"Leaver CS","2022","UK Hydrographic Office","Ministry of Defence","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Hydrographic Office","Ministry of Defence","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2022","UK Hydrographic Office","Ministry of Defence","SEO/HEO","HEO","20","[c]","34210","33330"
"Leaver CS","2022","UK Hydrographic Office","Ministry of Defence","SEO/HEO","SEO","15","[c]","44840","43240"
"Leaver CS","2022","UK Space Agency","Department for Business, Energy and Industrial Strategy","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Space Agency","Department for Business, Energy and Industrial Strategy","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2022","UK Space Agency","Department for Business, Energy and Industrial Strategy","G6/G7","G7","15","[c]","[c]","[c]"
"Leaver CS","2022","UK Space Agency","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Space Agency","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","10","[c]","[c]","[c]"
"Leaver CS","2022","UK Space Agency","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","20","[c]","[c]","[c]"
"Leaver CS","2022","UK Space Agency","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","UK Statistics Authority","UK Statistics Authority","AA/AO","AA","80","[c]","19400","19050"
"Leaver CS","2022","UK Statistics Authority","UK Statistics Authority","AA/AO","AO","185","[c]","20100","19610"
"Leaver CS","2022","UK Statistics Authority","UK Statistics Authority","EO","EO","75","[c]","24050","23630"
"Leaver CS","2022","UK Statistics Authority","UK Statistics Authority","G6/G7","G6","10","[c]","61510","60340"
