"Status","Year","Function_of_post","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Legal","Government Legal Department","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","HM Land Registry","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","HM Land Registry","Outside London","25","[c]","52010","57000"
"Leaver CS","2022","Legal","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","HM Revenue and Customs (excl. agencies)","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Met Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Ministry of Defence (excl. agencies)","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Ministry of Defence (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Ministry of Defence (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","National Crime Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Office of Gas and Electricity Markets","London","15","[c]","64640","55000"
"Leaver CS","2022","Legal","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Public Health England","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Scottish Prison Service","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Serious Fraud Office","London","10","[c]","[c]","[c]"
"Leaver CS","2022","Legal","The Insolvency Service","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","The National Archives","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","UK Export Finance","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","UK Health Security Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","UK Supreme Court","London","15","[c]","34940","37230"
"Leaver CS","2022","Legal","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Advisory, Conciliation and Arbitration Service","Outside London","40","[c]","28330","24250"
"Leaver CS","2022","No function","Animal and Plant Health Agency","London","10","[c]","[c]","[c]"
"Leaver CS","2022","No function","Animal and Plant Health Agency","Outside London","255","[c]","29540","24920"
"Leaver CS","2022","No function","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Cabinet Office (excl. agencies)","London","150","[c]","42980","34550"
"Leaver CS","2022","No function","Cabinet Office (excl. agencies)","Outside London","15","[c]","31480","29250"
"Leaver CS","2022","No function","Cabinet Office (excl. agencies)","Unknown","30","[c]","38980","32000"
"Leaver CS","2022","No function","Charity Commission","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Charity Commission","Outside London","30","[c]","34220","29230"
"Leaver CS","2022","No function","Companies House","Outside London","30","[c]","22650","22490"
"Leaver CS","2022","No function","Criminal Injuries Compensation Authority","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2022","No function","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Crown Commercial Service","Outside London","20","[c]","31840","23880"
"Leaver CS","2022","No function","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Crown Office and Procurator Fiscal Service","Outside London","80","[c]","25910","23230"
"Leaver CS","2022","No function","Defence Equipment and Support","London","15","[c]","26350","24630"
"Leaver CS","2022","No function","Defence Equipment and Support","Outside London","290","[c]","34980","31000"
"Leaver CS","2022","No function","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Defence Science and Technology Laboratory","Outside London","200","[c]","35280","29720"
"Leaver CS","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","220","[c]","48640","52840"
"Leaver CS","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","25","[c]","38780","34700"
"Leaver CS","2022","No function","Department for Digital, Culture, Media and Sport","London","110","[c]","41140","34020"
"Leaver CS","2022","No function","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Department for Education (excl. agencies)","London","75","[c]","45370","40230"
"Leaver CS","2022","No function","Department for Education (excl. agencies)","Outside London","80","[c]","38710","36500"
"Leaver CS","2022","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","London","195","[c]","[c]","[c]"
"Leaver CS","2022","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","80","[c]","[c]","[c]"
"Leaver CS","2022","No function","Department for International Trade","London","125","[c]","[c]","[c]"
"Leaver CS","2022","No function","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Department for International Trade","Overseas","15","[c]","[c]","[c]"
"Leaver CS","2022","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","London","70","[c]","44590","39600"
"Leaver CS","2022","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","30","[c]","36870","36340"
"Leaver CS","2022","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Department for Transport (excl. agencies)","London","205","[c]","44900","42470"
"Leaver CS","2022","No function","Department for Transport (excl. agencies)","Outside London","25","[c]","46780","33350"
"Leaver CS","2022","No function","Department for Work and Pensions (excl. agencies)","London","805","[c]","30720","31060"
"Leaver CS","2022","No function","Department for Work and Pensions (excl. agencies)","Outside London","5545","[c]","25510","27570"
"Leaver CS","2022","No function","Department for Work and Pensions (excl. agencies)","Unknown","50","[c]","27280","27570"
"Leaver CS","2022","No function","Department of Health and Social Care (excl. agencies)","London","175","[c]","53470","53360"
"Leaver CS","2022","No function","Department of Health and Social Care (excl. agencies)","Outside London","55","[c]","[c]","[c]"
"Leaver CS","2022","No function","Department of Health and Social Care (excl. agencies)","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2022","No function","Driver and Vehicle Licensing Agency","Unknown","335","[c]","21710","21840"
"Leaver CS","2022","No function","Driver and Vehicle Standards Agency","London","35","[c]","31150","30700"
"Leaver CS","2022","No function","Driver and Vehicle Standards Agency","Outside London","355","[c]","27030","26740"
"Leaver CS","2022","No function","Education and Skills Funding Agency","London","10","[c]","46700","44540"
"Leaver CS","2022","No function","Education and Skills Funding Agency","Outside London","30","[c]","48980","45080"
"Leaver CS","2022","No function","Food Standards Agency","London","5","[c]","[c]","[c]"
"Leaver CS","2022","No function","Food Standards Agency","Outside London","50","[c]","31790","29680"
"Leaver CS","2022","No function","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Government Legal Department","London","5","[c]","[c]","[c]"
"Leaver CS","2022","No function","Health and Safety Executive","London","10","[c]","40520","33810"
"Leaver CS","2022","No function","Health and Safety Executive","Outside London","155","[c]","40870","39390"
"Leaver CS","2022","No function","HM Courts and Tribunals Service","London","565","[c]","27050","23720"
"Leaver CS","2022","No function","HM Courts and Tribunals Service","Outside London","1475","[c]","22780","20970"
"Leaver CS","2022","No function","HM Courts and Tribunals Service","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","No function","HM Land Registry","London","25","[c]","30000","30600"
"Leaver CS","2022","No function","HM Land Registry","Outside London","235","[c]","28490","27130"
"Leaver CS","2022","No function","HM Prison and Probation Service","London","750","[c]","35050","33190"
"Leaver CS","2022","No function","HM Prison and Probation Service","Outside London","6200","[c]","31840","28200"
"Leaver CS","2022","No function","HM Prison and Probation Service","Unknown","220","[c]","[c]","[c]"
"Leaver CS","2022","No function","HM Revenue and Customs (excl. agencies)","London","10","[c]","[c]","[c]"
"Leaver CS","2022","No function","HM Revenue and Customs (excl. agencies)","Outside London","80","[c]","29230","22080"
"Leaver CS","2022","No function","HM Treasury (excl. agencies)","London","125","[c]","[c]","[c]"
"Leaver CS","2022","No function","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Institute for Apprenticeships and Technical Education","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Intellectual Property Office","Outside London","30","[c]","33900","24030"
"Leaver CS","2022","No function","Legal Aid Agency","London","5","[c]","[c]","[c]"
"Leaver CS","2022","No function","Legal Aid Agency","Outside London","45","[c]","22410","20970"
"Leaver CS","2022","No function","Maritime and Coastguard Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Maritime and Coastguard Agency","Outside London","125","[c]","33190","26840"
"Leaver CS","2022","No function","Maritime and Coastguard Agency","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Medicines and Healthcare Products Regulatory Agency","London","175","[c]","51660","41670"
"Leaver CS","2022","No function","Medicines and Healthcare Products Regulatory Agency","Outside London","50","[c]","40600","33090"
"Leaver CS","2022","No function","Ministry of Justice (excl. agencies)","London","290","[c]","44140","40680"
"Leaver CS","2022","No function","Ministry of Justice (excl. agencies)","Outside London","120","[c]","36640","31000"
"Leaver CS","2022","No function","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","National Crime Agency","London","75","[c]","48060","40170"
"Leaver CS","2022","No function","National Crime Agency","Outside London","170","[c]","37920","36410"
"Leaver CS","2022","No function","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","National Crime Agency","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","No function","National Infrastructure Commission","London","5","[c]","[c]","[c]"
"Leaver CS","2022","No function","National Savings and Investments","London","10","[c]","[c]","[c]"
"Leaver CS","2022","No function","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Office for Standards in Education, Children's Services and Skills","London","20","[c]","51100","51360"
"Leaver CS","2022","No function","Office for Standards in Education, Children's Services and Skills","Outside London","135","[c]","57260","51360"
"Leaver CS","2022","No function","Office of Gas and Electricity Markets","London","75","[c]","49460","44540"
"Leaver CS","2022","No function","Office of Gas and Electricity Markets","Outside London","55","[c]","31010","24650"
"Leaver CS","2022","No function","Office of Qualifications and Examinations Regulation","Outside London","20","[c]","57710","40100"
"Leaver CS","2022","No function","Office of Rail and Road","London","10","[c]","[c]","[c]"
"Leaver CS","2022","No function","Office of Rail and Road","Outside London","10","[c]","49840","51810"
"Leaver CS","2022","No function","Office of the Public Guardian","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Office of the Public Guardian","Outside London","65","[c]","22700","20970"
"Leaver CS","2022","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","London","5","[c]","[c]","[c]"
"Leaver CS","2022","No function","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Planning Inspectorate","Outside London","30","[c]","47410","47660"
"Leaver CS","2022","No function","Public Health England","London","590","[c]","46240","40070"
"Leaver CS","2022","No function","Public Health England","Outside London","865","[c]","41650","36690"
"Leaver CS","2022","No function","Registers of Scotland","Outside London","25","[c]","32620","30690"
"Leaver CS","2022","No function","Scottish Courts and Tribunals Service","Outside London","135","[c]","26460","23780"
"Leaver CS","2022","No function","Scottish Prison Service","Outside London","290","[c]","32050","35000"
"Leaver CS","2022","No function","Serious Fraud Office","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Standards and Testing Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Standards and Testing Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Teaching Regulation Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","The Insolvency Service","London","10","[c]","[c]","[c]"
"Leaver CS","2022","No function","The Insolvency Service","Outside London","70","[c]","28410","21130"
"Leaver CS","2022","No function","The National Archives","London","45","[c]","28710","23350"
"Leaver CS","2022","No function","UK Health Security Agency","London","485","[c]","42720","37100"
"Leaver CS","2022","No function","UK Health Security Agency","Outside London","230","[c]","34240","28590"
"Leaver CS","2022","No function","UK Hydrographic Office","Outside London","30","[c]","31240","33290"
"Leaver CS","2022","No function","UK Statistics Authority","London","10","[c]","[c]","[c]"
"Leaver CS","2022","No function","UK Statistics Authority","Outside London","290","[c]","23100","19860"
"Leaver CS","2022","No function","Vehicle Certification Agency","Outside London","10","[c]","37040","28980"
"Leaver CS","2022","No function","Vehicle Certification Agency","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Water Services Regulation Authority","Outside London","10","[c]","59670","50260"
"Leaver CS","2022","No function","Welsh Revenue Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Animal and Plant Health Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Cabinet Office (excl. agencies)","London","20","[c]","68910","64500"
"Leaver CS","2022","Project Delivery","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Centre for Environment, Fisheries and Aquaculture Science","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Companies House","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Competition and Markets Authority","London","35","[c]","57130","54320"
"Leaver CS","2022","Project Delivery","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Crown Commercial Service","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Defence Equipment and Support","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Defence Equipment and Support","Outside London","510","[c]","32780","30410"
"Leaver CS","2022","Project Delivery","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Defence Science and Technology Laboratory","Outside London","60","[c]","40560","38070"
"Leaver CS","2022","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Digital, Culture, Media and Sport","London","15","[c]","55670","51730"
"Leaver CS","2022","Project Delivery","Department for Digital, Culture, Media and Sport","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Education (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for International Trade","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Work and Pensions (excl. agencies)","London","5","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Work and Pensions (excl. agencies)","Outside London","55","[c]","33430","34290"
"Leaver CS","2022","Project Delivery","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Driver and Vehicle Licensing Agency","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Estyn","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","FCDO Services","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","FCDO Services","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","London","45","[c]","57040","56610"
"Leaver CS","2022","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","15","[c]","41320","33930"
"Leaver CS","2022","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","20","[c]","64320","63000"
"Leaver CS","2022","Project Delivery","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Government Legal Department","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Health and Safety Executive","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","HM Land Registry","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","HM Land Registry","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","HM Revenue and Customs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Medicines and Healthcare Products Regulatory Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Met Office","Outside London","30","[c]","37790","39650"
"Leaver CS","2022","Project Delivery","Ministry of Defence (excl. agencies)","London","10","[c]","46420","45200"
"Leaver CS","2022","Project Delivery","Ministry of Defence (excl. agencies)","Outside London","140","[c]","41400","40580"
"Leaver CS","2022","Project Delivery","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","National Crime Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","National Crime Agency","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Office of Gas and Electricity Markets","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Rural Payments Agency","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Scottish Prison Service","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Submarine Delivery Agency","Outside London","120","[c]","37230","35650"
"Leaver CS","2022","Project Delivery","Submarine Delivery Agency","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","The Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","UK Debt Management Office","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","UK Export Finance","London","5","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","UK Space Agency","London","25","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","UK Space Agency","Outside London","20","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","UK Statistics Authority","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","UK Statistics Authority","Outside London","20","[c]","41840","37170"
"Leaver CS","2022","Project Delivery","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Valuation Office Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Wilton Park","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Cabinet Office (excl. agencies)","London","5","[c]","[c]","[c]"
"Leaver CS","2022","Property","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Companies House","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Defence Equipment and Support","London","5","[c]","[c]","[c]"
"Leaver CS","2022","Property","Defence Equipment and Support","Outside London","15","[c]","37340","32000"
"Leaver CS","2022","Property","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Department for Education (excl. agencies)","London","5","[c]","[c]","[c]"
"Leaver CS","2022","Property","Department for Education (excl. agencies)","Outside London","15","[c]","50880","53600"
"Leaver CS","2022","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","25","[c]","[c]","[c]"
"Leaver CS","2022","Property","Department for Work and Pensions (excl. agencies)","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Department for Work and Pensions (excl. agencies)","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2022","Property","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Driver and Vehicle Licensing Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","FCDO Services","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","FCDO Services","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2022","Property","FCDO Services","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Government Property Agency","London","5","[c]","[c]","[c]"
"Leaver CS","2022","Property","Government Property Agency","Outside London","10","[c]","51790","49700"
"Leaver CS","2022","Property","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","HM Revenue and Customs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Maritime and Coastguard Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Ministry of Defence (excl. agencies)","London","10","[c]","[c]","[c]"
"Leaver CS","2022","Property","Ministry of Defence (excl. agencies)","Outside London","170","[c]","29790","28410"
"Leaver CS","2022","Property","Ministry of Defence (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Ministry of Justice (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","National Crime Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Queen Elizabeth II Centre","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Scottish Prison Service","Outside London","20","[c]","27910","26900"
"Leaver CS","2022","Property","Serious Fraud Office","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","The National Archives","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","UK Health Security Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","UK Health Security Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","UK Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Valuation Office Agency","London","25","[c]","44550","45750"
"Leaver CS","2022","Property","Valuation Office Agency","Outside London","225","[c]","26790","22040"
"Leaver CS","2022","Security","Cabinet Office (excl. agencies)","London","10","[c]","[c]","[c]"
"Leaver CS","2022","Security","Cabinet Office (excl. agencies)","Outside London","60","[c]","31400","30600"
"Leaver CS","2022","Security","Cabinet Office (excl. agencies)","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Security","Companies House","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Defence Equipment and Support","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Department for International Trade","London","5","[c]","[c]","[c]"
"Leaver CS","2022","Security","Department for Work and Pensions (excl. agencies)","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Department for Work and Pensions (excl. agencies)","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2022","Security","Driver and Vehicle Licensing Agency","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Security","Driver and Vehicle Standards Agency","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2022","Security","FCDO Services","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","FCDO Services","Outside London","15","[c]","34390","33390"
"Leaver CS","2022","Security","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","HM Prison and Probation Service","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","HM Prison and Probation Service","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2022","Security","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
