"Status","Year","Age","Function_of_post","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","20-29","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Government Legal Department","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Government Legal Department","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Health and Safety Executive","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Health and Safety Executive","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","HM Treasury (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","HM Treasury (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","HM Treasury (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Intellectual Property Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Intellectual Property Office","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Medicines and Healthcare Products Regulatory Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Medicines and Healthcare Products Regulatory Agency","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Medicines and Healthcare Products Regulatory Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Ministry of Defence (excl. agencies)","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Ministry of Defence (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Ministry of Defence (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","National Crime Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Office for Standards in Education, Children's Services and Skills","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Office of Gas and Electricity Markets","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Office of the Secretary of State for Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Office of the Secretary of State for Wales","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Public Health England","Heterosexual / straight","35","[c]","29750","26880"
"Leaver Dept.","2022","20-29","Human Resources","Public Health England","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Public Health England","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Public Health England","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Registers of Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","Registers of Scotland","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","The Insolvency Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","The Insolvency Service","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","The National Archives","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","UK Health Security Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","UK Health Security Agency","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","UK Health Security Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","UK Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","UK Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Internal Audit","Government Internal Audit Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Internal Audit","Government Internal Audit Agency","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Internal Audit","Ministry of Defence (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Internal Audit","Ministry of Defence (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","Attorney General's Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","Attorney General's Office","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","Attorney General's Office","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","Attorney General's Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","Cabinet Office (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","Cabinet Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","Competition and Markets Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","Crown Prosecution Service","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","Crown Prosecution Service","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","Crown Prosecution Service","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","Crown Prosecution Service","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","Government Legal Department","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","Government Legal Department","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","Government Legal Department","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","Government Legal Department","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","National Crime Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Advisory, Conciliation and Arbitration Service","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Advisory, Conciliation and Arbitration Service","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Animal and Plant Health Agency","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Animal and Plant Health Agency","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Animal and Plant Health Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Cabinet Office (excl. agencies)","Heterosexual / straight","195","[c]","37470","34550"
"Leaver Dept.","2022","20-29","No function","Cabinet Office (excl. agencies)","LGBO","35","[c]","38380","34550"
"Leaver Dept.","2022","20-29","No function","Cabinet Office (excl. agencies)","Undeclared","20","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Cabinet Office (excl. agencies)","Unknown","495","[c]","32950","32000"
"Leaver Dept.","2022","20-29","No function","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Companies House","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Companies House","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Companies House","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Criminal Injuries Compensation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Criminal Injuries Compensation Authority","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Crown Commercial Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Crown Commercial Service","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Crown Office and Procurator Fiscal Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Crown Office and Procurator Fiscal Service","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Crown Office and Procurator Fiscal Service","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Defence Equipment and Support","Heterosexual / straight","30","[c]","26500","27110"
"Leaver Dept.","2022","20-29","No function","Defence Equipment and Support","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Defence Equipment and Support","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Defence Science and Technology Laboratory","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Defence Science and Technology Laboratory","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Defence Science and Technology Laboratory","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","130","[c]","38680","35070"
"Leaver Dept.","2022","20-29","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","35","[c]","38810","38160"
"Leaver Dept.","2022","20-29","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","15","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","25","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for Digital, Culture, Media and Sport","Heterosexual / straight","55","[c]","36720","34020"
"Leaver Dept.","2022","20-29","No function","Department for Digital, Culture, Media and Sport","LGBO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for Digital, Culture, Media and Sport","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for Education (excl. agencies)","Heterosexual / straight","55","[c]","35680","33300"
"Leaver Dept.","2022","20-29","No function","Department for Education (excl. agencies)","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for Education (excl. agencies)","Undeclared","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for Education (excl. agencies)","Unknown","20","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","90","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","15","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","20","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for International Trade","Heterosexual / straight","35","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for International Trade","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for International Trade","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","65","[c]","33730","33210"
"Leaver Dept.","2022","20-29","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for Transport (excl. agencies)","Heterosexual / straight","65","[c]","38780","35060"
"Leaver Dept.","2022","20-29","No function","Department for Transport (excl. agencies)","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for Transport (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department for Transport (excl. agencies)","Unknown","50","[c]","37760","34710"
"Leaver Dept.","2022","20-29","No function","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","495","[c]","27500","27570"
"Leaver Dept.","2022","20-29","No function","Department for Work and Pensions (excl. agencies)","LGBO","65","[c]","26690","27570"
"Leaver Dept.","2022","20-29","No function","Department for Work and Pensions (excl. agencies)","Undeclared","35","[c]","27440","27570"
"Leaver Dept.","2022","20-29","No function","Department for Work and Pensions (excl. agencies)","Unknown","70","[c]","27110","27570"
"Leaver Dept.","2022","20-29","No function","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","30","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department of Health and Social Care (excl. agencies)","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Department of Health and Social Care (excl. agencies)","Undeclared","130","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Driver and Vehicle Licensing Agency","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Driver and Vehicle Licensing Agency","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Driver and Vehicle Licensing Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Driver and Vehicle Licensing Agency","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Driver and Vehicle Standards Agency","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Driver and Vehicle Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Driver and Vehicle Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Driver and Vehicle Standards Agency","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Education and Skills Funding Agency","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Education and Skills Funding Agency","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Food Standards Agency","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Government Legal Department","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Government Legal Department","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Government Legal Department","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Health and Safety Executive","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Health and Safety Executive","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Health and Safety Executive","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Health and Safety Executive","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","HM Courts and Tribunals Service","Heterosexual / straight","130","[c]","23130","20970"
"Leaver Dept.","2022","20-29","No function","HM Courts and Tribunals Service","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","HM Courts and Tribunals Service","Undeclared","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","HM Courts and Tribunals Service","Unknown","70","[c]","22440","20970"
"Leaver Dept.","2022","20-29","No function","HM Prison and Probation Service","Heterosexual / straight","115","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","HM Prison and Probation Service","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","HM Prison and Probation Service","Undeclared","15","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","HM Prison and Probation Service","Unknown","35","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","HM Treasury (excl. agencies)","Heterosexual / straight","50","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","HM Treasury (excl. agencies)","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","HM Treasury (excl. agencies)","Undeclared","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","HM Treasury (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Institute for Apprenticeships and Technical Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Institute for Apprenticeships and Technical Education","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Intellectual Property Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Intellectual Property Office","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Legal Aid Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Legal Aid Agency","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Legal Aid Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Maritime and Coastguard Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Maritime and Coastguard Agency","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Maritime and Coastguard Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Maritime and Coastguard Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Medicines and Healthcare Products Regulatory Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Medicines and Healthcare Products Regulatory Agency","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Medicines and Healthcare Products Regulatory Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Ministry of Justice (excl. agencies)","Heterosexual / straight","95","[c]","34930","34260"
"Leaver Dept.","2022","20-29","No function","Ministry of Justice (excl. agencies)","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Ministry of Justice (excl. agencies)","Undeclared","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Ministry of Justice (excl. agencies)","Unknown","25","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","National Crime Agency","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","National Infrastructure Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","National Infrastructure Commission","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Northern Ireland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Office for Standards in Education, Children's Services and Skills","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Office of Gas and Electricity Markets","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Office of Gas and Electricity Markets","Undeclared","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Office of Gas and Electricity Markets","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Office of the Public Guardian","Heterosexual / straight","30","[c]","22000","20970"
"Leaver Dept.","2022","20-29","No function","Office of the Public Guardian","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Office of the Public Guardian","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Office of the Public Guardian","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Office of the Secretary of State for Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Office of the Secretary of State for Wales","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Planning Inspectorate","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Planning Inspectorate","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Planning Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Public Health England","Heterosexual / straight","905","[c]","28390","26880"
"Leaver Dept.","2022","20-29","No function","Public Health England","LGBO","120","[c]","28980","27710"
"Leaver Dept.","2022","20-29","No function","Public Health England","Undeclared","140","[c]","28300","26880"
"Leaver Dept.","2022","20-29","No function","Public Health England","Unknown","25","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Registers of Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Registers of Scotland","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Registers of Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Scottish Courts and Tribunals Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Scottish Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Scottish Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Serious Fraud Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Serious Fraud Office","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Teaching Regulation Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","Teaching Regulation Agency","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","The Insolvency Service","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","The Insolvency Service","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","The Insolvency Service","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","The Insolvency Service","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","The National Archives","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","UK Health Security Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","UK Health Security Agency","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","UK Health Security Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","UK Health Security Agency","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","UK Statistics Authority","Heterosexual / straight","15","[c]","[c]","[c]"
